Device_ID,Device_type,Device,Site,Ambient,DevicexAmbient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width
ID1_0100,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:25:33.543,2023-08-26 14:26:49.313,00:01:15.770000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0101,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:26:23.652,2023-08-26 14:26:26.558,00:00:02.906000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0102,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:26:30.834,2023-08-26 14:26:33.699,00:00:02.865000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0103,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:26:52.196,2023-08-26 14:27:22.185,00:00:29.989000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0104,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:27:25.014,2023-08-26 14:28:00.633,00:00:35.619000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0105,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:28:04.915,2023-08-26 14:28:44.652,00:00:39.737000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0106,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:28:46.098,2023-08-26 14:30:53.994,00:02:07.896000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0107,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:32:11.429,2023-08-26 14:32:59.812,00:00:48.383000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0108,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:33:01.220,2023-08-26 14:34:26.731,00:01:25.511000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0110,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:40:21.455,2023-08-26 14:40:44.304,00:00:22.849000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
